ts	x	y	z	label
2020-09-03 09:21:35.571000	-0.672	0.48	-0.704	low_cupboard
2020-09-03 09:21:35.572000	-0.512	0.544	-0.704	low_cupboard
2020-09-03 09:21:35.593000	-0.576	0.608	-0.544	low_cupboard
2020-09-03 09:21:35.624000	-0.512	0.352	-0.8	low_cupboard
2020-09-03 09:21:35.710000	-0.608	0.416	-0.768	low_cupboard
2020-09-03 09:21:35.741000	-0.64	0.48	-0.704	low_cupboard
2020-09-03 09:21:35.772000	-0.576	0.48	-0.768	low_cupboard
2020-09-03 09:21:35.782000	-0.544	0.544	-0.704	low_cupboard
2020-09-03 09:21:35.803000	-0.608	0.64	-0.576	low_cupboard
2020-09-03 09:21:35.824000	-0.544	0.384	-0.864	low_cupboard
2020-09-03 09:21:35.872000	-0.64	0.672	-0.608	low_cupboard
2020-09-03 09:21:35.910000	-0.576	0.384	-0.8	low_cupboard
2020-09-03 09:21:35.941000	-0.64	0.512	-0.736	low_cupboard
2020-09-03 09:21:35.962000	-0.576	0.448	-0.736	low_cupboard
2020-09-03 09:21:35.983000	-0.544	0.512	-0.704	low_cupboard
2020-09-03 09:21:36.034000	-0.576	0.288	-0.8	low_cupboard
2020-09-03 09:21:36.121000	-0.608	0.384	-0.832	low_cupboard
2020-09-03 09:21:36.141000	-0.64	0.512	-0.736	low_cupboard
2020-09-03 09:21:36.193000	-0.576	0.48	-0.704	low_cupboard
2020-09-03 09:21:36.222000	-0.608	0.48	-0.704	low_cupboard
2020-09-03 09:21:36.243000	-0.672	0.576	-0.576	low_cupboard
2020-09-03 09:21:36.244000	-0.576	0.384	-0.864	low_cupboard
2020-09-03 09:21:36.361000	-0.608	0.416	-0.736	low_cupboard
2020-09-03 09:21:36.371000	-0.576	0.32	-0.832	low_cupboard
2020-09-03 09:21:36.372000	-0.608	0.48	-0.768	low_cupboard
2020-09-03 09:21:36.393000	-0.576	0.544	-0.672	low_cupboard
2020-09-03 09:21:36.424000	-0.64	0.608	-0.608	low_cupboard
2020-09-03 09:21:36.444000	-0.576	0.32	-0.832	low_cupboard
2020-09-03 09:21:36.495000	-0.544	0.32	-0.864	low_cupboard
2020-09-03 09:21:36.541000	-0.64	0.352	-0.832	low_cupboard
2020-09-03 09:21:36.572000	-0.64	0.384	-0.768	low_cupboard
2020-09-03 09:21:36.582000	-0.576	0.512	-0.736	low_cupboard
2020-09-03 09:21:36.603000	-0.576	0.576	-0.672	low_cupboard
2020-09-03 09:21:36.624000	-0.608	0.608	-0.576	low_cupboard
2020-09-03 09:21:36.672000	-0.608	0.544	-0.704	low_cupboard
2020-09-03 09:21:36.695000	-0.512	0.384	-0.832	low_cupboard
2020-09-03 09:21:36.741000	-0.544	0.48	-0.832	low_cupboard
2020-09-03 09:21:36.762000	-0.64	0.416	-0.768	low_cupboard
2020-09-03 09:21:36.783000	-0.608	0.48	-0.736	low_cupboard
2020-09-03 09:21:36.834000	-0.64	0.576	-0.608	low_cupboard
2020-09-03 09:21:36.905000	-0.48	0.416	-0.896	low_cupboard
2020-09-03 09:21:36.941000	-0.576	0.256	-0.864	low_cupboard
2020-09-03 09:21:36.993000	-0.64	0.416	-0.704	low_cupboard
2020-09-03 09:21:37.022000	-0.64	0.416	-0.8	low_cupboard
2020-09-03 09:21:37.043000	-0.64	0.576	-0.608	low_cupboard
2020-09-03 09:21:37.044000	-0.672	0.544	-0.608	low_cupboard
2020-09-03 09:21:37.115000	-0.48	0.416	-0.864	low_cupboard
2020-09-03 09:21:37.161000	-0.544	0.288	-0.832	low_cupboard
2020-09-03 09:21:37.172000	-0.64	0.448	-0.768	low_cupboard
2020-09-03 09:21:37.193000	-0.672	0.448	-0.64	low_cupboard
2020-09-03 09:21:37.224000	-0.544	0.544	-0.608	low_cupboard
2020-09-03 09:21:37.244000	-0.672	0.576	-0.608	low_cupboard
2020-09-03 09:21:37.295000	-0.608	0.544	-0.608	low_cupboard
2020-09-03 09:21:37.325000	-0.48	0.512	-0.832	low_cupboard
2020-09-03 09:21:37.372000	-0.512	0.416	-0.928	low_cupboard
2020-09-03 09:21:37.382000	-0.608	0.416	-0.736	low_cupboard
2020-09-03 09:21:37.403000	-0.64	0.48	-0.672	low_cupboard
2020-09-03 09:21:37.424000	-0.672	0.576	-0.608	low_cupboard
2020-09-03 09:21:37.472000	-0.672	0.48	-0.672	low_cupboard
2020-09-03 09:21:37.495000	-0.608	0.544	-0.64	low_cupboard
2020-09-03 09:21:37.525000	-0.512	0.48	-0.832	low_cupboard
2020-09-03 09:21:37.562000	-0.576	0.32	-0.928	low_cupboard
2020-09-03 09:21:37.583000	-0.608	0.448	-0.736	low_cupboard
2020-09-03 09:21:37.634000	-0.672	0.544	-0.608	low_cupboard
2020-09-03 09:21:37.705000	-0.64	0.576	-0.704	low_cupboard
2020-09-03 09:21:37.734000	-0.512	0.448	-0.768	low_cupboard
2020-09-03 09:21:37.793000	-0.608	0.48	-0.704	low_cupboard
